Threshold,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,154.449,59.7543,62.9182,17.1241,5.87344,98.0598,58.3718,52.4016,12.2971,5.67651,77.4764,42.608,7.21425,12.0482,19.2656,97.8993,57.0214,57.0257,16.3661,6.48041,163.372,66.0827,56.5652,16.7361,5.44902
1,87.7081,31.6754,43.4417,21.4892,12.0014,57.7178,37.2972,51.576,14.8416,11.215,66.054,42.7983,30.38,28.098,166.488,66.4854,38.9951,52.877,22.1229,12.0523,99.0672,46.6436,45.6984,19.6254,9.3153
1,55.2858,47.0046,44.1888,18.7735,24.618,37.3987,42.0284,44.7438,15.4648,22.0676,30.7089,17.7404,73.0366,59.6723,435.216,48.509,54.9901,40.2396,20.355,19.3903,59.7153,58.7934,41.3219,20.3794,19.1148
1,19.4588,41.7683,62.3855,18.7648,26.0624,12.5033,34.5654,48.7448,15.5909,24.0486,11.7678,17.7429,79.4512,50.9993,497.984,17.2835,40.0512,45.3072,16.2222,18.0496,23.1048,41.4256,50.5424,20.8086,27.6333
1,19.9246,26.3304,25.5297,20.0062,20.7113,15.9219,18.8105,20.6548,15.126,25.4492,7.18231,37.1826,66.0523,78.474,510.078,22.2209,22.4487,21.6935,21.9344,19.4718,21.6149,22.0128,22.3143,24.7343,30.0532
1,38.3153,22.6076,12.1351,14.5077,21.609,35.9699,16.2339,8.57125,13.1876,23.7465,11.0937,55.4542,95.2663,64.3634,495.091,51.6547,18.5179,10.8456,17.0203,20.319,27.6369,19.47,13.7005,14.9238,26.2869
1,37.6791,23.4254,15.4884,13.5491,21.4605,44.3892,17.4145,11.8892,10.1171,19.3157,15.6515,53.2067,66.8733,51.0589,424.826,114.709,22.5268,21.0521,16.5957,17.2387,42.5776,27.8403,18.9191,11.5624,21.7891
1,31.5977,33.8835,9.73067,11.6065,10.2474,32.7662,25.103,13.0047,9.29351,10.107,44.5676,78.8833,17.0027,33.1237,226.555,152.792,47.2367,27.0316,18.6876,11.9513,34.576,34.2596,11.9721,12.7426,13.2812
1,25.7897,23.4871,7.82509,6.34291,6.88841,26.463,18.6206,12.4458,4.8255,7.70174,84.178,47.9159,25.3895,8.29377,108.401,48.1056,36.4275,14.3744,8.94986,5.85425,24.3793,19.7492,7.37293,8.12529,6.57118
1,21.9233,12.9183,9.42232,5.58384,5.65992,24.9718,7.81173,8.59347,3.52505,7.09323,70.2244,27.5855,16.1089,11.8999,87.2052,38.566,16.2223,18.9385,4.7343,6.21201,17.6947,10.4353,9.98616,4.91751,4.89735
